Cidades,1990,1991,1992,1993,1994 ,1995,1996,1997 ,1998 ,1999 ,2000 ,2001 
Rio de Janeiro - RJ,"51,10","50,30","40,90","45,40","39,50","41,80","30,50","37,40","30,20","32,50","34,10","28,77"
Búzios - RJ,-,-,-,-,"3,50","3,40","2,70","2,80","5,40","4,60","4,00","3,87"
São Paulo - SP,"29,30","29,70","27,00","19,20","21,30","19,90","22,40","23,50","18,40","13,70","19,70","17,02"
Florianópolis - SC,"9,70","11,60","12,20","12,40","15,30","11,40","17,00","13,90","14,00","17,70","18,70","15,77"
Foz do Iguaçu - PR,"14,00","17,30","19,80","13,50","12,70","16,00","16,60","11,80","8,90","11,80","12,90","11,47"
Salvador - BA,"7,80","9,30","8,10","9,80","9,30","8,80","7,70","12,20","10,90","12,70","13,50","11,13"
Porto Alegre - RS,"8,80","9,90","9,30","8,50","7,80","9,70","10,10","7,90","7,90","6,00","5,90","7,11"
Camboriú - SC,"9,00","7,00","6,40","6,40","6,60","6,20","5,40","3,70","5,10","4,90","6,60","4,86"
Recife - PE,"5,40","7,10","5,50","6,10","4,80","5,70","4,70","5,70","7,20","6,40","5,80","7,29"
Manaus - AM,-,"6,40","4,50","4,50","3,80","5,00","4,70","4,20","4,20",-,-,-
Fortaleza - CE,-,-,-,-,"2,30","4,10","3,20","3,40","4,60","4,70","5,40","5,61"